sep=;
Release Tag;API Item Type;API Item Name
public;interface;CacheInvalidationProps
public;namespace;CacheInvalidationProps
public;class;ContentDataProvider
public;interface;ContentDataProviderProps
public;interface;ControlledPresentationTreeFilteringProps
beta;function;convertToInstanceFilterDefinition
deprecated;function;convertToInstanceFilterDefinition
alpha;function;createDiagnosticsOptions
beta;function;createInstanceFilterDefinition
public;const;DEFAULT_PROPERTY_GRID_RULESET
public;interface;DiagnosticsProps
public;class;FavoritePropertiesDataFilterer
public;interface;FavoritePropertiesDataFiltererProps
public;class;FavoritePropertiesDataProvider
public;interface;FavoritePropertiesDataProviderProps
beta;type;FilterablePresentationTreeNodeItem
beta;interface;FilterableTreeProps
beta;interface;FilteringDialogToolbarHandlers
beta;type;HierarchyLevelFilteringDescriptor
public;interface;IContentDataProvider
public;interface;IFavoritePropertiesDataProvider
public;interface;IFilteredPresentationTreeDataProvider
beta;enum;InfoTreeNodeItemType
beta;class;InstanceKeyValueRenderer
public;interface;IPresentationDataProvider
public;interface;IPresentationLabelsProvider
public;type;IPresentationPropertyDataProvider
public;interface;IPresentationTreeDataProvider
beta;function;isFilterablePresentationTreeNodeItem
beta;function;isPresentationInfoTreeNodeItem
beta;function;isPresentationInstanceFilterConditionGroup
deprecated;function;isPresentationInstanceFilterConditionGroup
beta;function;isPresentationTreeNodeItem
public;interface;IUnifiedSelectionComponent
beta;const;NavigationPropertyEditor
deprecated;const;NavigationPropertyEditor
beta;const;navigationPropertyEditorContext
beta;interface;NavigationPropertyEditorContextProps
beta;const;NavigationPropertyTargetEditor
deprecated;const;NavigationPropertyTargetEditor
beta;function;PortalTargetContextProvider
beta;interface;PortalTargetContextProviderProps
public;enum;PresentationComponentsLoggerCategory
beta;function;PresentationFilterBuilderValueRenderer
beta;interface;PresentationFilterBuilderValueRendererProps
beta;interface;PresentationInfoTreeNodeItem
beta;type;PresentationInstanceFilter
beta;namespace;PresentationInstanceFilter
beta;function;PresentationInstanceFilterBuilder
beta;interface;PresentationInstanceFilterBuilderProps
beta;interface;PresentationInstanceFilterCondition
beta;interface;PresentationInstanceFilterConditionGroup
beta;function;PresentationInstanceFilterDialog
beta;interface;PresentationInstanceFilterDialogProps
beta;interface;PresentationInstanceFilterInfo
beta;interface;PresentationInstanceFilterPropertiesSource
beta;interface;PresentationInstanceFilterPropertyInfo
public;class;PresentationLabelsProvider
public;interface;PresentationLabelsProviderProps
public;class;PresentationPropertyDataProvider
public;interface;PresentationPropertyDataProviderProps
public;function;PresentationTree
public;class;PresentationTreeDataProvider
beta;interface;PresentationTreeDataProviderDataSourceEntryPoints
public;interface;PresentationTreeDataProviderProps
public;interface;PresentationTreeEventHandlerProps
beta;interface;PresentationTreeNodeItem
beta;interface;PresentationTreeNodeItemFilteringInfo
public;interface;PresentationTreeNodeLoaderProps
deprecated;interface;PresentationTreeNodeLoaderProps
public;interface;PresentationTreeNodeLoaderResult
deprecated;interface;PresentationTreeNodeLoaderResult
beta;function;PresentationTreeNodeRenderer
beta;interface;PresentationTreeNodeRendererProps
public;type;PresentationTreeProps
beta;function;PresentationTreeRenderer
beta;interface;PresentationTreeRendererProps
public;interface;PropertyDataProviderWithUnifiedSelectionProps
public;class;PropertyRecordsBuilder
beta;interface;SchemaMetadataContext
beta;function;SchemaMetadataContextProvider
beta;interface;SchemaMetadataContextProviderProps
beta;interface;TableCellDefinition
beta;function;TableCellRenderer
beta;interface;TableCellRendererProps
beta;interface;TableColumnDefinition
beta;interface;TableRowDefinition
beta;interface;UnifiedSelectionContext
beta;function;UnifiedSelectionContextProvider
beta;interface;UnifiedSelectionContextProviderProps
beta;type;UnifiedSelectionState
public;class;UnifiedSelectionTreeEventHandler
public;interface;UnifiedSelectionTreeEventHandlerParams
public;function;useControlledPresentationTreeFiltering
beta;function;useFilterablePresentationTree
beta;interface;useFilterablePresentationTreeProps
beta;function;useHierarchyLevelFiltering
beta;interface;UseHierarchyLevelFilteringProps
beta;function;useInstanceFilterPropertyInfos
beta;interface;UseInstanceFilterPropertyInfosProps
beta;function;useNavigationPropertyEditingContext
beta;function;usePresentationTable
beta;interface;UsePresentationTableProps
beta;interface;UsePresentationTableResult
beta;function;usePresentationTableWithUnifiedSelection
beta;interface;UsePresentationTableWithUnifiedSelectionResult
public;function;usePresentationTreeNodeLoader
deprecated;function;usePresentationTreeNodeLoader
public;function;usePresentationTreeState
public;interface;UsePresentationTreeStateProps
public;interface;UsePresentationTreeStateResult
public;function;usePropertyDataProviderWithUnifiedSelection
public;interface;UsePropertyDataProviderWithUnifiedSelectionResult
public;function;useRulesetRegistration
deprecated;function;useRulesetRegistration
beta;function;useSchemaMetadataContext
beta;function;useUnifiedSelectionContext
public;function;useUnifiedSelectionTreeEventHandler
deprecated;function;useUnifiedSelectionTreeEventHandler
public;function;viewWithUnifiedSelection
public;interface;ViewWithUnifiedSelectionProps
