sep=;
Release Tag;API Item Type;API Item Name
public;interface;HierarchyLevelDetails
public;function;isPresentationHierarchyNode
public;function;LocalizationContextProvider
public;interface;PresentationGenericInfoNode
public;interface;PresentationHierarchyNode
public;type;PresentationInfoNode
public;interface;PresentationResultSetTooLargeInfoNode
public;type;PresentationTreeNode
alpha;const;TreeErrorRenderer
alpha;const;TreeLevelRenderer
public;const;TreeNodeRenderer
alpha;function;TreeRenderer
public;function;UnifiedSelectionProvider
deprecated;function;UnifiedSelectionProvider
public;function;useIModelTree
public;function;useIModelUnifiedSelectionTree
public;function;useSelectionHandler
public;function;useTree
public;function;useUnifiedSelectionTree
