sep=;
Release Tag;API Item Type;API Item Name
beta;function;createClassBasedHierarchyDefinition
beta;function;createHierarchyProvider
beta;function;createLimitingECSqlQueryExecutor
beta;function;createNodesQueryClauseFactory
beta;type;DefineCustomNodeChildHierarchyLevelProps
beta;interface;DefineHierarchyLevelProps
beta;type;DefineInstanceNodeChildHierarchyLevelProps
beta;type;DefineRootHierarchyLevelProps
beta;interface;GetHierarchyNodesProps
beta;function;getLogger
beta;interface;GroupingHierarchyNode
beta;type;GroupingNodeKey
beta;interface;HierarchyDefinition
beta;type;HierarchyLevelDefinition
beta;type;HierarchyNode
beta;namespace;HierarchyNode
beta;type;HierarchyNodeIdentifier
beta;namespace;HierarchyNodeIdentifier
beta;type;HierarchyNodeIdentifiersPath
beta;type;HierarchyNodeKey
beta;namespace;HierarchyNodeKey
beta;type;HierarchyNodesDefinition
beta;namespace;HierarchyNodesDefinition
beta;interface;HierarchyProvider
beta;interface;InstancesNodeKey
beta;interface;LimitingECSqlQueryExecutor
beta;type;NodeParser
beta;type;NodePostProcessor
beta;type;NodePreProcessor
beta;enum;NodeSelectClauseColumnNames
beta;interface;NodesQueryClauseFactory
beta;interface;NonGroupingHierarchyNode
beta;type;ParsedHierarchyNode
beta;type;ProcessedHierarchyNode
beta;class;RowsLimitExceededError
beta;function;setLogger
