sep=;
Release Tag;API Item Type;API Item Name
beta;type;ArrayElement
beta;type;ConcatenatedValue
beta;namespace;ConcatenatedValue
beta;type;ConcatenatedValuePart
beta;namespace;ConcatenatedValuePart
beta;function;createBisInstanceLabelSelectClauseFactory
beta;function;createCachingECClassHierarchyInspector
beta;function;createClassBasedInstanceLabelSelectClauseFactory
beta;function;createDefaultInstanceLabelSelectClauseFactory
beta;function;createDefaultValueFormatter
beta;function;createMainThreadReleaseOnTimePassedHandler
beta;namespace;EC
beta;interface;ECClassHierarchyInspector
beta;interface;ECSchemaProvider
beta;type;ECSqlBinding
beta;interface;ECSqlQueryDef
beta;interface;ECSqlQueryExecutor
beta;interface;ECSqlQueryReaderOptions
beta;interface;ECSqlQueryRow
beta;function;formatConcatenatedValue
beta;function;getClass
beta;interface;IInstanceLabelSelectClauseFactory
beta;interface;ILogger
beta;interface;InstanceKey
beta;namespace;InstanceKey
beta;type;IPrimitiveValueFormatter
beta;function;julianToDateTime
beta;type;LogFunction
beta;type;LogLevel
beta;const;NOOP_LOGGER
beta;function;normalizeFullClassName
beta;type;OmitOverUnion
beta;function;parseFullClassName
beta;function;parseInstanceLabel
beta;type;PrimitiveValue
beta;namespace;PrimitiveValue
beta;function;releaseMainThread
beta;function;trimWhitespace
beta;function;trimWhitespace
beta;type;TypedPrimitiveValue
beta;namespace;TypedPrimitiveValue
