sep=;
Release Tag;API Item Type;API Item Name
public;interface;CachingHiliteSetProvider
public;function;computeSelection
public;function;createCachingHiliteSetProvider
public;function;createHiliteSetProvider
public;function;createStorage
public;interface;CustomSelectable
public;function;enableUnifiedSelectionSyncWithIModel
public;interface;HiliteSet
public;interface;HiliteSetProvider
public;type;Selectable
public;namespace;Selectable
public;type;SelectableIdentifier
public;interface;SelectableInstanceKey
public;interface;Selectables
public;namespace;Selectables
public;interface;SelectionStorage
public;interface;StorageSelectionChangeEventArgs
public;type;StorageSelectionChangesListener
public;type;StorageSelectionChangeType
public;const;TRANSIENT_ELEMENT_CLASSNAME
